,first,second,SSD,SD,Pearson
JNJ-ECL,JNJ,ECL,11.021996890425672,0.09475591568121827,0.8980538303562193
PM-SO,PM,SO,11.076393319591851,0.09508447326887544,0.6634372410784573
SO-EXC,SO,EXC,11.141245853610663,0.07801376586434776,0.66693228474777
PG-CL,PG,CL,11.150260858869128,0.06614923157447729,0.7313070518695797
UPS-CL,UPS,CL,11.209136439682636,0.06790687557785921,0.8245568901372959
CB-AEP,CB,AEP,11.331834903101784,0.07064731969361362,0.9454556773975563
HON-BLK,HON,BLK,11.427468709558527,0.09628947937748308,0.9456268738963564
MMM-AON,MMM,AON,11.501765265908054,0.08830568780237141,0.981537485324756
XOM-OXY,XOM,OXY,11.533825137687877,0.0867000516317919,0.8521951373365875
PG-KO,PG,KO,11.699921297514049,0.0605940827567794,0.6330422282949839
T-PM,T,PM,11.749020366205672,0.09426349150034223,0.6697041052278135
V-MA,V,MA,11.870503691364645,0.09830780301980352,0.9786985898096183
AEP-SYY,AEP,SYY,11.897163290395715,0.09858785234848215,0.9144671622047923
UPS-USB,UPS,USB,11.915734241894866,0.09698813926038499,0.8317795235468913
AMT-PLD,AMT,PLD,11.982374671964948,0.08796831966917693,0.9284479767893864
BLK-ALL,BLK,ALL,11.999804733922936,0.09880447877195096,0.9601711194637272
UPS-JCI,UPS,JCI,12.177357673498257,0.09850305962956048,0.7716165328579084
CVX-EMR,CVX,EMR,12.182158399301937,0.0658773773475043,0.8349048934278769
MRK-USB,MRK,USB,12.1862946267253,0.08761079773983524,0.8579270755538762
PLD-AFL,PLD,AFL,12.190832061900494,0.09977395282892146,0.8786804501203875
MMM-APH,MMM,APH,12.220819406813415,0.09592313791423746,0.9737892318297848
PFE-PG,PFE,PG,12.224712718260278,0.09113583301039044,0.44120333403303563
USB-D,USB,D,12.325864259941083,0.0990058347023636,0.8173719863080672
AON-APH,AON,APH,12.326957487022128,0.07383103569112126,0.9804240523886039
CMCSA-NEE,CMCSA,NEE,12.361913544533099,0.09978826914575517,0.9418188902527866
CSCO-USB,CSCO,USB,12.365971601112278,0.09782286204391254,0.8550073642433884
GM-ETN,GM,ETN,12.384070316130773,0.09893318043941889,0.6771774339905942
EL-AEP,EL,AEP,12.444870915696946,0.09949689293742513,0.8671218667184426
EOG-CXO,EOG,CXO,12.462031269136817,0.10017322883916593,0.8847104569243867
SO-CCI,SO,CCI,12.656490820746358,0.08740169982740136,0.7644121116489054
KO-LIN,KO,LIN,12.719804330209662,0.09488407487025992,0.17317339907811558
V-BDX,V,BDX,12.721331982244644,0.09746199229245707,0.9802861852758975
MMC-ALL,MMC,ALL,12.767545975800918,0.09773214073891362,0.962602937764651
PM-CCI,PM,CCI,12.772391887136486,0.08958035248389819,0.7591623766616048
JPM-PNC,JPM,PNC,12.806511600013001,0.061334489947965726,0.9802514407454908
CB-SYY,CB,SYY,12.809934734082553,0.07921162698938573,0.9435930093327823
SYK-FIS,SYK,FIS,12.81755726952039,0.0972846849922089,0.9742856197324067
D-AEP,D,AEP,12.822765545902053,0.1020949078141172,0.8879451590544939
V-HD,V,HD,12.894466120063623,0.1013677995474466,0.9756216463227179
MCD-PLD,MCD,PLD,12.909147033183386,0.09821885861388698,0.893927707340218
JNJ-NEE,JNJ,NEE,12.953038954208933,0.09901296266583716,0.9686911924445649
D-JCI,D,JCI,13.03532739847542,0.10225290015952967,0.7533548507846881
D-KMB,D,KMB,13.046263578694042,0.09712246087655377,0.8020461016407248
PFE-DUK,PFE,DUK,13.101927559873879,0.08217372382062753,0.6191426930553205
BLK-TEL,BLK,TEL,13.11515650418655,0.09442146042595513,0.9502669667694067
BK-STI,BK,STI,13.12652558462558,0.10042572301725572,0.9401368983796426
VZ-EXC,VZ,EXC,13.158118342040462,0.10262498703649534,0.30975800344967436
T-KO,T,KO,13.205594002037083,0.07299655204345996,0.5010215289059284
QCOM-OXY,QCOM,OXY,13.211986634804845,0.09204753070337912,0.791283952453436
COST-CB,COST,CB,13.277571664708683,0.10391051782235389,0.8818092453982449
HON-DHR,HON,DHR,13.29754299867038,0.07800126206603751,0.9626395680008212
PLD-YUM,PLD,YUM,13.327458610215144,0.10434740577131608,0.8502134604002143
HON-NEE,HON,NEE,13.330247000822439,0.06116939063852036,0.9778022467088454
PLD-EBAY,PLD,EBAY,13.355985684844397,0.09784202501161998,0.8887954003014077
INTU-MMC,INTU,MMC,13.359893387774662,0.07710060523673622,0.9803865618158297
UTX-CL,UTX,CL,13.36328193490493,0.10334096728239622,0.5490544124241341
CSCO-AEP,CSCO,AEP,13.374643806333117,0.10359161102883868,0.8549466166881124
BLK-APD,BLK,APD,13.529993463673042,0.09739193447560497,0.9255539410442507
CMCSA-HON,CMCSA,HON,13.559039052545815,0.0761651849534158,0.965671207493172
KMB-AEP,KMB,AEP,13.621947209635676,0.09665288091761984,0.8707589806609118
BLK-ADP,BLK,ADP,13.626577997597947,0.10511241467535273,0.9486435322247426
KMB-PSA,KMB,PSA,13.686474109661807,0.10541691407504178,0.901694179612158
BAC-STI,BAC,STI,13.76225256571332,0.10385701819087868,0.9464261545918408
PG-EXC,PG,EXC,13.802030545561742,0.07816897631205494,0.6639248057899493
KO-PM,KO,PM,13.81151784611223,0.09516969832796295,0.6924428953289128
PG-AFL,PG,AFL,13.847665276122136,0.10595678883408963,0.6840615045189387
UPS-SRE,UPS,SRE,13.88226144803853,0.0854706102758483,0.8321211079186158
BAX-EBAY,BAX,EBAY,13.92468293389764,0.10659945385096367,0.8730728890692044
INTU-APH,INTU,APH,14.008088073354061,0.08130192620454466,0.9762607136973086
GE-CL,GE,CL,14.052241674087634,0.10713478490649694,0.5849237922458054
WMT-VZ,WMT,VZ,14.05779902345804,0.10232162310012118,0.11905869439465189
CCL-RHT,CCL,RHT,14.071748130790434,0.10259150959267348,0.9507932703101996
BRK/B-ECL,BRK/B,ECL,14.105219758312627,0.10734547740921738,0.8873599676976288
JPM-BAC,JPM,BAC,14.12427693081858,0.09587460490082692,0.9540320138813639
BK-ROP,BK,ROP,14.156043254408383,0.10733817341074715,0.9356510707081264
UTX-JCI,UTX,JCI,14.172122862534897,0.10129398818967866,0.7563970513209032
VZ-LIN,VZ,LIN,14.191347546824444,0.10414471674755651,-0.03229865906941876
ALL-APH,ALL,APH,14.21083787957902,0.10386222459916243,0.9725329097448162
COST-KMB,COST,KMB,14.21449610957355,0.1065767698628708,0.8700256121066573
DUK-CL,DUK,CL,14.215327997860067,0.058268204621106295,0.8144000402572535
UTX-ETN,UTX,ETN,14.228951276887841,0.06400718970559871,0.8679709567402587
V-SYK,V,SYK,14.294234963688542,0.10800443523854734,0.9730457243639692
CSCO-COST,CSCO,COST,14.307554344487318,0.09865159193496115,0.8847311854109863
CSCO-CB,CSCO,CB,14.352894113486066,0.09534896482005063,0.8971986116996052
CL-AFL,CL,AFL,14.389716821143363,0.09064419523985338,0.7774582323173447
MDLZ-TRV,MDLZ,TRV,14.433897858071845,0.1036091362338722,0.8712680427743993
PFE-AFL,PFE,AFL,14.435194420680425,0.10386715549085135,0.6844465960835472
DUK-AFL,DUK,AFL,14.491543455671213,0.1042525201206325,0.6812754227324666
LIN-EXC,LIN,EXC,14.631992552921215,0.10089521520242128,0.4392226141721183
PG-ETN,PG,ETN,14.677666587158956,0.10947693531619405,0.5258806898025205
AMT-AEP,AMT,AEP,14.950545637247988,0.0852050219166596,0.9346351474500909
CVX-QCOM,CVX,QCOM,14.982720474979514,0.1105300534585362,0.6454209343395831
WFC-SRE,WFC,SRE,14.9865024786025,0.107191198166933,0.7834125961952416
CCI-EXC,CCI,EXC,15.004787428811866,0.11068031064528766,0.5777558795591697
WMT-EXC,WMT,EXC,15.029623170519383,0.10051890405065717,0.4741660343506465
DHR-ADP,DHR,ADP,15.283798595675826,0.0868753634575476,0.9573318328473083
JNJ-TRV,JNJ,TRV,15.391460283005634,0.0906725294998184,0.9082825161543836
WMT-KO,WMT,KO,15.44436865181748,0.10426938787833716,0.10228908132656031
WM-APH,WM,APH,15.472769073714936,0.11134302927482106,0.9541573312468011
MMM-FDX,MMM,FDX,15.551556765980695,0.10933604855903478,0.9500547928937609
ACN-TRV,ACN,TRV,15.560525233313701,0.11273661823847574,0.9380350118693598
UPS-BBT,UPS,BBT,15.564943621667963,0.09882794535543074,0.7661026405338154
XOM-EMR,XOM,EMR,15.588351193011782,0.08406860987933407,0.68042718650704
JPM-ROP,JPM,ROP,15.612176467571986,0.11262443457753583,0.928985268193828
JPM-BK,JPM,BK,15.642098971790636,0.11303229784251392,0.9293843445825087
MMM-BLK,MMM,BLK,15.820435480121432,0.10199042669351492,0.9689966598522027
MCD-BAX,MCD,BAX,15.89232795963134,0.0897703207276325,0.9134322871580351
CSCO-MRK,CSCO,MRK,15.937947319158509,0.11141526219833635,0.8046984293688357
ACN-ROP,ACN,ROP,15.989542774488385,0.10887001562152038,0.930739297603368
PM-DE,PM,DE,16.032779482734085,0.11224169276323631,0.7081814994286808
MDLZ-AIG,MDLZ,AIG,16.04090878332085,0.09686943818943393,0.8823650793301828
JNJ-CB,JNJ,CB,16.04274394255636,0.05536526551289788,0.9669520964838345
ABT-D,ABT,D,16.06609588450492,0.11386837688076742,0.6973689077558581
PGR-ROP,PGR,ROP,16.079920536761485,0.10870072436708579,0.9376746258082314
ACN-CB,ACN,CB,16.09218938547332,0.10884817629626539,0.9371626007295178
UTX-BBT,UTX,BBT,16.15042568799639,0.11484514049824757,0.6712623933797606
HON-APH,HON,APH,16.234458903689788,0.11428628155531709,0.9744078163720317
MMM-SHW,MMM,SHW,16.254938414616113,0.11185670913098071,0.9574752734310236
BRK/B-TRV,BRK/B,TRV,16.319470331938348,0.09168335390904181,0.9176507527423733
MDLZ-ECL,MDLZ,ECL,16.404685505344304,0.1091520709885515,0.8458114938930286
ADP-APH,ADP,APH,16.4982508830709,0.11536079337752647,0.9626456075201452
BAX-YUM,BAX,YUM,16.55347125132345,0.10903522302747498,0.8584608631732233
BRK/B-APD,BRK/B,APD,16.59502287207506,0.09942091179085895,0.9226311062034863
AMT-CCL,AMT,CCL,16.646363930327432,0.11633972143521888,0.8892967364367819
LIN-SO,LIN,SO,16.73464666925836,0.1162254529249589,-0.03414969145340177
MCD-AMT,MCD,AMT,16.736384110577003,0.11592942546747013,0.8695463458452509
CCI-AFL,CCI,AFL,16.738367810263178,0.08122737340027265,0.8266531954952597
ADP-WM,ADP,WM,16.746213795903802,0.11694044026515685,0.9543387887299005
EBAY-YUM,EBAY,YUM,16.78446900025791,0.11115448210273639,0.8557410448258788
C-USB,C,USB,16.802045898168828,0.10907790760445155,0.8053387277573285
VZ-DUK,VZ,DUK,16.805828835349896,0.09763300747036002,0.26142249008957985
DUK-SO,DUK,SO,16.88321022877985,0.05273545626168463,0.8299964643496792
MMM-TEL,MMM,TEL,17.02421102080827,0.11767617576901392,0.9282767225912933
ZTS-ROP,ZTS,ROP,17.044431394958416,0.10558692396788502,0.951881547423084
CMCSA-ADP,CMCSA,ADP,17.126601422076725,0.09245627110968382,0.9518152244779866
PG-GM,PG,GM,17.14982738383693,0.11654786500977014,0.32715898353480416
CSCO-D,CSCO,D,17.161008385366337,0.11821652843669109,0.7850007697477875
CME-FIS,CME,FIS,17.163646188257434,0.11824774288274988,0.9587988467138664
BRK/B-NEE,BRK/B,NEE,17.180657772524587,0.11608178283076025,0.927856394882354
INTU-ITW,INTU,ITW,17.189618995079297,0.10910581710442377,0.9595981298416687
VZ-PG,VZ,PG,17.22020331694587,0.08100243378658467,0.30894826741078185
CMCSA-ALL,CMCSA,ALL,17.22166512301461,0.1033736834916793,0.9404786576227341
COST-AEP,COST,AEP,17.240788572852196,0.10341581212171046,0.8740138481336313
MMC-SHW,MMC,SHW,17.24973631556704,0.11871152205710966,0.9463519640501453
AFL-BAX,AFL,BAX,17.25592226815245,0.11250654443551168,0.8663911528844793
CVX-OXY,CVX,OXY,17.256240426887636,0.1105621622039237,0.6533556919381481
PNC-ALL,PNC,ALL,17.333110430592658,0.1130730016234609,0.9321383693511821
BK-ECL,BK,ECL,17.341629618367097,0.11572289463794057,0.908405328723699
CMCSA-DWDP,CMCSA,DWDP,17.34257871084651,0.11724315626680981,0.9186276325450455
WMT-SO,WMT,SO,17.36195394785575,0.11881080342556737,0.012388287070994533
UTX-COF,UTX,COF,17.362311328172332,0.11133134918877566,0.6815117122525255
HON-WM,HON,WM,17.399381729826505,0.11921920575365336,0.9605799748100065
LLY-MDLZ,LLY,MDLZ,17.436630202317783,0.11385493724019215,0.8839695432942204
ALL-TEL,ALL,TEL,17.463504282046305,0.1089972423462533,0.9332279540733083
BRK/B-DWDP,BRK/B,DWDP,17.487206810380385,0.11857720282436283,0.9183338371410146
USB-JCI,USB,JCI,17.490722538547985,0.11951511665170908,0.7336942553137948
CRM-INTU,CRM,INTU,17.560862351855903,0.11822520161136962,0.9488773187924188
KMB-TRV,KMB,TRV,17.56230672913963,0.10520413817864059,0.8635360082228565
AEP-TRV,AEP,TRV,17.580032687421554,0.06672664895485328,0.9462454322831245
BRK/B-CMCSA,BRK/B,CMCSA,17.593038574801376,0.11447898000059747,0.9322188938214767
TXN-SYK,TXN,SYK,17.612077140987424,0.11884333257829055,0.9711421142489889
BBT-JCI,BBT,JCI,17.62711443673529,0.1136190157720164,0.7288881285354554
BBT-YUM,BBT,YUM,17.63082451461248,0.09739919721715529,0.81653036678393
XOM-LIN,XOM,LIN,17.87678699412405,0.08693392575295933,0.4282942254629816
BRK/B-BLK,BRK/B,BLK,17.89486557639515,0.06765068603205311,0.9595775241996226
KMB-SRE,KMB,SRE,17.914624517608804,0.1171316416297126,0.7264667529793802
WFC-MET,WFC,MET,17.916272814959036,0.12056236312794241,0.7362067568317165
HD-BDX,HD,BDX,17.979741663491136,0.11212747177967007,0.9700052935742521
USB-COF,USB,COF,17.98039558550895,0.09426942959032451,0.8343690932675725
ABT-USB,ABT,USB,18.04937914404554,0.12137686209448585,0.7281071249621786
MA-FIS,MA,FIS,18.119487546115746,0.11685306505247861,0.961720280473808
TRV-SRE,TRV,SRE,18.138437970724066,0.1187003368780171,0.8215274491731301
D-BBT,D,BBT,18.14526954980903,0.10982786166360269,0.7083852276979815
BRK/B-INTC,BRK/B,INTC,18.160250693412564,0.11557951101608681,0.8856457641714495
NEE-ALL,NEE,ALL,18.16149083900252,0.09963001235500685,0.9446576570055062
CL-JCI,CL,JCI,18.165756061231676,0.11028992304351286,0.7068437471095682
UPS-KMB,UPS,KMB,18.194932278166295,0.11729760458114243,0.6932900379725067
LLY-COST,LLY,COST,18.196698132645665,0.11584740006014768,0.8780868269093097
LLY-TRV,LLY,TRV,18.221941681404484,0.12196866120774456,0.8639004995868538
XOM-WMT,XOM,WMT,18.226667720567576,0.09263297124525204,0.4093224802208887
CSCO-UPS,CSCO,UPS,18.232893273230566,0.12194821487779789,0.7715281007831141
DWDP-BK,DWDP,BK,18.257293112795665,0.11468237728139723,0.9172736337046596
V-FIS,V,FIS,18.293728126751983,0.11898244633153791,0.9686924119363703
CMCSA-INTU,CMCSA,INTU,18.329444823130373,0.1211399429282673,0.9632662671982168
CL-BBT,CL,BBT,18.330781928999812,0.12167187202414735,0.6114404986038502
CSCO-SYY,CSCO,SYY,18.3313852194024,0.12164220038047112,0.862284113707659
CSCO-TRV,CSCO,TRV,18.368689584181215,0.08767447388419862,0.9051985040463847
PFE-UTX,PFE,UTX,18.394422026767323,0.11471269717254104,0.4285764002699185
BBT-AFL,BBT,AFL,18.412488526976965,0.09884269945507612,0.7797573743678388
ADP-SHW,ADP,SHW,18.43621610641905,0.12200159190116718,0.9527263002618007
MSFT-TXN,MSFT,TXN,18.46187915469497,0.1193623333018243,0.9684771620258962
ABT-UPS,ABT,UPS,18.471548942184864,0.12199962866526186,0.64235985148109
PM-EXC,PM,EXC,18.497769219943844,0.11137429007015633,0.549632845356323
